Disease,Fold Increased Risk,Risk Type,Condition/Context,Prevalence Percentage,Confidence Levels,Estimated Cases,High Prevalence Boroughs
HIV-Associated Nephropathy (HIVAN),29,Disease,HIV+ population,9.5,92% (90-94%),420,Butetown
G1/G1 Genotype,89,Genetic,African ancestry,8.5,88% (86-90%),1258,Butetown
G2/G2 Genotype,80,Genetic,African ancestry,4,85% (82-88%),591,Butetown
Focal Segmental Glomerulosclerosis (FSGS),17,Disease,with risk alleles,3.5,85% (82-88%),517,Grangetown
HIVAN with Two Risk Alleles + HIV,50,Combined,HIV+ with risk alleles,2.5,80% (75-85%)*,369,Grangetown
Hypertension-attributed End-Stage Kidney Disease,7,Disease,with risk alleles,11,85% (82-88%),1628,Grangetown
G1 Single Allele,1.5,Genetic,African ancestry,33,90% (87-93%),4873,Riverside
G2 Single Allele,1.3,Genetic,African ancestry,10,90% (86-94%),1480,Riverside
Chronic Kidney Disease (CKD),4,Disease,with risk alleles,10,85% (80-90%),1480,Splott
Lupus Nephritis,2.5,Disease,with risk alleles,4,80% (75-85%),591,Splott
Preeclampsia,1.75,Disease,pregnant women with risk alleles,1.8,75% (70-80%)*,266,Cathays
Cardiovascular Disease,1.5,Disease,with APOL1-related kidney disease,7,75% (70-80%)*,1035,Butetown
Sickle Cell Nephropathy,1.25,Disease,with both conditions,0.8,70% (65-75%)*,118,Riverside
