City,Disease,Fold Increased Risk,Risk Type,Condition/Context,Prevalence Percentage,Confidence Levels,Estimated Cases,High Prevalence Boroughs
Glasgow,HIV-Associated Nephropathy (HIVAN),29.0,Disease,HIV+ population,10.0,92% (90-94%),570,Pollokshields
Glasgow,G1/G1 Genotype,89.0,Genetic,African ancestry,9.0,88% (86-90%),1905,Pollokshields
Glasgow,G2/G2 Genotype,80.0,Genetic,African ancestry,4.0,85% (82-88%),952,Pollokshields
Glasgow,Focal Segmental Glomerulosclerosis (FSGS),17.0,Disease,with risk alleles,3.5,85% (82-88%),667,Govanhill
Glasgow,HIVAN with Two Risk Alleles + HIV,50.0,Combined,HIV+ with risk alleles,2.5,80% (75-85%)*,476,Govanhill
Glasgow,Hypertension-attributed End-Stage Kidney Disease,7.0,Disease,with risk alleles,12.0,85% (82-88%),2286,Govanhill
Glasgow,G1 Single Allele,1.5,Genetic,African ancestry,35.0,90% (87-93%),6669,Pollokshields
Glasgow,G2 Single Allele,1.3,Genetic,African ancestry,11.0,90% (86-94%),2096,Pollokshields
Glasgow,Chronic Kidney Disease (CKD),4.0,Disease,with risk alleles,11.0,85% (80-90%),2096,Govanhill
Glasgow,Lupus Nephritis,2.5,Disease,with risk alleles,4.0,80% (75-85%),762,Southside
Glasgow,Preeclampsia,1.75,Disease,pregnant women with risk alleles,1.8,75% (70-80%)*,343,Southside
Glasgow,Cardiovascular Disease,1.5,Disease,with APOL1-related kidney disease,7.0,75% (70-80%)*,1334,Maryhill
Glasgow,Sickle Cell Nephropathy,1.25,Disease,with both conditions,0.8,70% (65-75%)*,152,Maryhill
Edimburgh,HIV-Associated Nephropathy (HIVAN),29.0,Disease,HIV+ population,10.0,92% (90-94%),472,Leith
Edimburgh,G1/G1 Genotype,89.0,Genetic,African ancestry,9.0,88% (86-90%),1575,Leith
Edimburgh,G2/G2 Genotype,80.0,Genetic,African ancestry,4.0,85% (82-88%),787,Leith
Edimburgh,Focal Segmental Glomerulosclerosis (FSGS),17.0,Disease,with risk alleles,3.5,85% (82-88%),551,Wester Hailes
Edimburgh,HIVAN with Two Risk Alleles + HIV,50.0,Combined,HIV+ with risk alleles,2.5,80% (75-85%)*,394,Wester Hailes
Edimburgh,Hypertension-attributed End-Stage Kidney Disease,7.0,Disease,with risk alleles,12.0,85% (82-88%),1890,Wester Hailes
Edimburgh,G1 Single Allele,1.5,Genetic,African ancestry,35.0,90% (87-93%),5512,Sighthill
Edimburgh,G2 Single Allele,1.3,Genetic,African ancestry,11.0,90% (86-94%),1732,Sighthill
Edimburgh,Chronic Kidney Disease (CKD),4.0,Disease,with risk alleles,11.0,85% (80-90%),1732,Gorgie
Edimburgh,Lupus Nephritis,2.5,Disease,with risk alleles,4.0,80% (75-85%),630,Gorgie
Edimburgh,Preeclampsia,1.75,Disease,pregnant women with risk alleles,1.8,75% (70-80%)*,283,Wester Hailes
Edimburgh,Cardiovascular Disease,1.5,Disease,with APOL1-related kidney disease,7.0,75% (70-80%)*,1102,Leith
Edimburgh,Sickle Cell Nephropathy,1.25,Disease,with both conditions,0.8,70% (65-75%)*,126,Sighthill
