Disease,Fold Increased Risk,Risk Type,Condition/Context,Prevalence Percentage,Confidence Levels,Estimated Cases,High Prevalence Boroughs
HIV-Associated Nephropathy (HIVAN),29,Disease,HIV+ population,10,92% (90-94%),472,Leith
G1/G1 Genotype,89,Genetic,African ancestry,9,88% (86-90%),1575,Leith
G2/G2 Genotype,80,Genetic,African ancestry,4,85% (82-88%),787,Leith
Focal Segmental Glomerulosclerosis (FSGS),17,Disease,with risk alleles,3.5,85% (82-88%),551,Wester Hailes
HIVAN with Two Risk Alleles + HIV,50,Combined,HIV+ with risk alleles,2.5,80% (75-85%)*,394,Wester Hailes
Hypertension-attributed End-Stage Kidney Disease,7,Disease,with risk alleles,12,85% (82-88%),1890,Wester Hailes
G1 Single Allele,1.5,Genetic,African ancestry,35,90% (87-93%),5512,Sighthill
G2 Single Allele,1.3,Genetic,African ancestry,11,90% (86-94%),1732,Sighthill
Chronic Kidney Disease (CKD),4,Disease,with risk alleles,11,85% (80-90%),1732,Gorgie
Lupus Nephritis,2.5,Disease,with risk alleles,4,80% (75-85%),630,Gorgie
Preeclampsia,1.75,Disease,pregnant women with risk alleles,1.8,75% (70-80%)*,283,Wester Hailes
Cardiovascular Disease,1.5,Disease,with APOL1-related kidney disease,7,75% (70-80%)*,1102,Leith
Sickle Cell Nephropathy,1.25,Disease,with both conditions,0.8,70% (65-75%)*,126,Sighthill
