Disease,Fold Increased Risk,Risk Type,Condition/Context,Prevalence Percentage,Confidence Levels,Estimated Cases,High Prevalence Boroughs
HIV-Associated Nephropathy (HIVAN),29,Disease,HIV+ population,10,92% (90-94%),570,Pollokshields
G1/G1 Genotype,89,Genetic,African ancestry,9,88% (86-90%),1905,Pollokshields
G2/G2 Genotype,80,Genetic,African ancestry,4,85% (82-88%),952,Pollokshields
Focal Segmental Glomerulosclerosis (FSGS),17,Disease,with risk alleles,3.5,85% (82-88%),667,Govanhill
HIVAN with Two Risk Alleles + HIV,50,Combined,HIV+ with risk alleles,2.5,80% (75-85%)*,476,Govanhill
Hypertension-attributed End-Stage Kidney Disease,7,Disease,with risk alleles,12,85% (82-88%),2286,Govanhill
G1 Single Allele,1.5,Genetic,African ancestry,35,90% (87-93%),6669,Pollokshields
G2 Single Allele,1.3,Genetic,African ancestry,11,90% (86-94%),2096,Pollokshields
Chronic Kidney Disease (CKD),4,Disease,with risk alleles,11,85% (80-90%),2096,Govanhill
Lupus Nephritis,2.5,Disease,with risk alleles,4,80% (75-85%),762,Southside
Preeclampsia,1.75,Disease,pregnant women with risk alleles,1.8,75% (70-80%)*,343,Southside
Cardiovascular Disease,1.5,Disease,with APOL1-related kidney disease,7,75% (70-80%)*,1334,Maryhill
Sickle Cell Nephropathy,1.25,Disease,with both conditions,0.8,70% (65-75%)*,152,Maryhill
