Disease,Fold Increased Risk,Risk Type,Condition/Context,Prevalence Percentage,Confidence Levels,Estimated Cases,High Prevalence Areas
HIV-Associated Nephropathy (HIVAN),29,Disease,HIV+ population,9.5,92% (90-94%),850,Moss Side
G1/G1 Genotype,85,Genetic,African ancestry,7.5,88% (86-90%),6750,Hulme
G2/G2 Genotype,80,Genetic,African ancestry,3.8,88% (85-91%),3420,Longsight
Focal Segmental Glomerulosclerosis (FSGS),17,Disease,with risk alleles,3.2,85% (82-88%),2880,Cheetham Hill
HIVAN with Two Risk Alleles + HIV,50,Combined,HIV+ with risk alleles,2.3,80% (75-85%),207,Moss Side
Hypertension-attributed End-Stage Kidney Disease,7,Disease,with risk alleles,11.5,85% (82-88%),10350,Hulme
G1 Single Allele,1.5,Genetic,African ancestry,33,90% (87-93%),29700,Longsight
G2 Single Allele,1.3,Genetic,African ancestry,10.5,90% (86-94%),9450,Cheetham Hill
Chronic Kidney Disease (CKD),4,Disease,with risk alleles,10.5,85% (80-90%),9450,Moss Side
Lupus Nephritis,2.5,Disease,with risk alleles,3.8,80% (75-85%),3420,Hulme
Preeclampsia,1.75,Disease,pregnant women with risk alleles,1.6,75% (70-80%),1440,Longsight
Cardiovascular Disease,1.5,Disease,with APOL1-related kidney disease,6.5,75% (70-80%),5850,Cheetham Hill
Sickle Cell Nephropathy,1.25,Disease,with both conditions,0.7,70% (65-75%),630,Moss Side
