Disease,Fold Increased Risk,Risk Type,Prevalence Percentage,Prevalence Percentage: Other Ethnicities,Confidence Levels for Prevalence Data,City,Region,Estimated Cases
HIV-Associated Nephropathy (HIVAN),29,Disease,9.5,<1%*,92% (90-94%),Cardiff,South Wales,420
HIV-Associated Nephropathy (HIVAN),29,Disease,9,<1%*,92% (90-94%),Swansea,South Wales,246
HIV-Associated Nephropathy (HIVAN),29,Disease,8.5,<1%*,92% (90-94%),Newport,South Wales,168
G1/G1 Genotype,89,Genetic,8.5,<0.1%,88% (86-90%),Cardiff,South Wales,1258
G1/G1 Genotype,89,Genetic,8,<0.1%,88% (86-90%),Swansea,South Wales,738
G1/G1 Genotype,89,Genetic,7.5,<0.1%,88% (86-90%),Newport,South Wales,504
G1/G2 Genotype,82,Genetic,7,<0.1%,88% (85-91%),Cardiff,South Wales,1032
G1/G2 Genotype,82,Genetic,6.5,<0.1%,88% (85-91%),Swansea,South Wales,606
G1/G2 Genotype,82,Genetic,6,<0.1%,88% (85-91%),Newport,South Wales,414
G2/G2 Genotype,80,Genetic,4,<0.1%,85% (82-88%),Cardiff,South Wales,591
G2/G2 Genotype,80,Genetic,3.5,<0.1%,85% (82-88%),Swansea,South Wales,347
G2/G2 Genotype,80,Genetic,3,<0.1%,85% (82-88%),Newport,South Wales,237
Focal Segmental Glomerulosclerosis (FSGS),17,Disease,3.5,<1%,85% (82-88%),Cardiff,South Wales,517
Focal Segmental Glomerulosclerosis (FSGS),17,Disease,3,<1%,85% (82-88%),Swansea,South Wales,303
Focal Segmental Glomerulosclerosis (FSGS),17,Disease,2.5,<1%,85% (82-88%),Newport,South Wales,207
HIVAN with Two Risk Alleles + HIV,50,Combined,2.5,<0.5%*,80% (75-85%)*,Cardiff,South Wales,369
HIVAN with Two Risk Alleles + HIV,50,Combined,2,<0.5%*,80% (75-85%)*,Swansea,South Wales,216
HIVAN with Two Risk Alleles + HIV,50,Combined,1.5,<0.5%*,80% (75-85%)*,Newport,South Wales,148
Hypertension-attributed End-Stage Kidney Disease,7,Disease,11,2%,85% (82-88%),Cardiff,South Wales,1628
Hypertension-attributed End-Stage Kidney Disease,7,Disease,10,2%,85% (82-88%),Swansea,South Wales,955
Hypertension-attributed End-Stage Kidney Disease,7,Disease,9,2%,85% (82-88%),Newport,South Wales,653
G1 Single Allele,1.5,Genetic,33,<0.1%,90% (87-93%),Cardiff,South Wales,4873
G1 Single Allele,1.5,Genetic,31,<0.1%,90% (87-93%),Swansea,South Wales,2860
G1 Single Allele,1.5,Genetic,29,<0.1%,90% (87-93%),Newport,South Wales,1955
G2 Single Allele,1.3,Genetic,10,<0.1%,90% (86-94%),Cardiff,South Wales,1480
G2 Single Allele,1.3,Genetic,9,<0.1%,90% (86-94%),Swansea,South Wales,869
G2 Single Allele,1.3,Genetic,8,<0.1%,90% (86-94%),Newport,South Wales,594
Chronic Kidney Disease (CKD),4,Disease,10,3%,85% (80-90%),Cardiff,South Wales,1480
Chronic Kidney Disease (CKD),4,Disease,9,3%,85% (80-90%),Swansea,South Wales,869
Chronic Kidney Disease (CKD),4,Disease,8,3%,85% (80-90%),Newport,South Wales,594
Lupus Nephritis,2.5,Disease,4,2%,80% (75-85%),Cardiff,South Wales,591
Lupus Nephritis,2.5,Disease,3.5,2%,80% (75-85%),Swansea,South Wales,347
Lupus Nephritis,2.5,Disease,3,2%,80% (75-85%),Newport,South Wales,237
Preeclampsia,1.75,Disease,1.8,1%,75% (70-80%)*,Cardiff,South Wales,266
Preeclampsia,1.75,Disease,1.5,1%,75% (70-80%)*,Swansea,South Wales,156
Preeclampsia,1.75,Disease,1.2,1%,75% (70-80%)*,Newport,South Wales,107
Cardiovascular Disease,1.5,Disease,7,3%,75% (70-80%)*,Cardiff,South Wales,1035
Cardiovascular Disease,1.5,Disease,6,3%,75% (70-80%)*,Swansea,South Wales,607
Cardiovascular Disease,1.5,Disease,5,3%,75% (70-80%)*,Newport,South Wales,415
Sickle Cell Nephropathy,1.25,Disease,0.8,<0.1%,70% (65-75%)*,Cardiff,South Wales,118
Sickle Cell Nephropathy,1.25,Disease,0.6,<0.1%,70% (65-75%)*,Swansea,South Wales,69
Sickle Cell Nephropathy,1.25,Disease,0.4,<0.1%,70% (65-75%)*,Newport,South Wales,47
