City,Region,Community Centers,Coordinates - Community Centers,Cultural Associations,Coordinates - Cultural Associations,Religious Institutions,Coordinates - Religious Institutions
Greater London,London,Africa Centre,"51.4994° N, 0.1000° W",Black Cultural Archives,"51.4654° N, 0.1144° W",KICC Prayer City,"51.5074° N, 0.1278° W"
Greater London,London,Nigerian Community Centre,"51.4734° N, 0.0698° W",African Caribbean Business Network,"51.4994° N, 0.1000° W",Ruach City Church,"51.4613° N, 0.1156° W"
Greater London,London,Caribbean Resources Centre,"51.4626° N, 0.1147° W",Ghana Union London,"51.5074° N, 0.1278° W",Jesus House,"51.5505° N, 0.0557° W"
Greater London,London,African & Caribbean Mental Health,"51.5505° N, 0.0557° W",Nigerian Association UK,"51.5311° N, 0.1222° W",New Testament Church,"51.4626° N, 0.1147° W"
Greater London,London,Brixton Community Centre,"51.4613° N, 0.1156° W",Caribbean Cultural Association,"51.4613° N, 0.1156° W",Kingsway International,"51.5311° N, 0.1222° W"
Greater London,London,Hackney African Centre,"51.5505° N, 0.0557° W",Somali Cultural Project,"51.5505° N, 0.0557° W",Christ Apostolic,"51.5225° N, 0.1058° W"
Greater London,London,Southwark African Centre,"51.4734° N, 0.0698° W",Ethiopian Association,"51.5225° N, 0.1058° W",Trinity Baptist,"51.4940° N, 0.1011° W"
Greater London,London,Lambeth African Centre,"51.4613° N, 0.1156° W",Sierra Leone Association,"51.4940° N, 0.1011° W",Christ Faith Tabernacle,"51.4954° N, 0.0839° W"
Greater London,London,Peckham African Centre,"51.4734° N, 0.0698° W",Gambian Society UK,"51.4954° N, 0.0839° W",Mountain of Fire,"51.5074° N, 0.1278° W"
Greater London,London,Newham African Centre,"51.5431° N, 0.0129° W",Nigerian Women's Group,"51.5074° N, 0.1278° W",Redeemed Christian,"51.5074° N, 0.1278° W"
West Midlands,West Midlands,African Caribbean Resource Centre,"52.4862° N, 1.8904° W",Birmingham Caribbean Festival,"52.4862° N, 1.8904° W",New Testament Church,"52.4862° N, 1.8904° W"
West Midlands,West Midlands,Legacy Centre of Excellence,"52.4862° N, 1.8904° W",African Community Council,"52.4892° N, 1.8823° W",Bethel Convention Centre,"52.4892° N, 1.8823° W"
West Midlands,West Midlands,Afro Caribbean Millennium Centre,"52.4892° N, 1.8823° W",Zimbabwe Community Association,"52.4862° N, 1.8904° W",Birmingham Central Mosque,"52.4862° N, 1.8904° W"
West Midlands,West Midlands,The Drum Arts Centre,"52.4892° N, 1.8823° W",Nigerian Community Association,"52.4892° N, 1.8823° W",African Churches Council,"52.4892° N, 1.8823° W"
West Midlands,West Midlands,Handsworth Cultural Centre,"52.5112° N, 1.8913° W*",Somali West Midlands,"52.5112° N, 1.8913° W*",Life House Church,"52.5112° N, 1.8913° W"
West Midlands,West Midlands,African Community Hub,"52.4862° N, 1.8904° W*",Caribbean Heritage Project,"52.4862° N, 1.8904° W",Winners Chapel,"52.4862° N, 1.8904° W"
West Midlands,West Midlands,Unity Centre,"52.4892° N, 1.8823° W*",Ghana Society Birmingham,"52.4892° N, 1.8823° W",Christ Apostolic,"52.4892° N, 1.8823° W"
West Midlands,West Midlands,Caribbean Centre,"52.4862° N, 1.8904° W",African Women's Group,"52.4862° N, 1.8904° W*",Mountain of Fire,"52.4862° N, 1.8904° W"
West Midlands,West Midlands,African Resource Hub,"52.4892° N, 1.8823° W*",Sierra Leone Society,"52.4892° N, 1.8823° W",Redeemed Christian,"52.4892° N, 1.8823° W"
West Midlands,West Midlands,Community Connect,"52.4862° N, 1.8904° W*",Ethiopian Association,"52.5112° N, 1.8913° W*",Trinity Baptist,"52.5112° N, 1.8913° W"
Greater Manchester,North West,Manchester African Centre,"53.4808° N, 2.2426° W",Manchester African Network,"53.4808° N, 2.2426° W",Jesus House Manchester,"53.4808° N, 2.2426° W"
Greater Manchester,North West,Moss Side Community Centre,"53.4597° N, 2.2287° W",Caribbean Cultural Society,"53.4597° N, 2.2287° W",New Testament Church,"53.4597° N, 2.2287° W"
Greater Manchester,North West,Longsight Black Resource Centre,"53.4597° N, 2.2287° W*",Nigerian Association Manchester,"53.4808° N, 2.2426° W",Mountain of Fire,"53.4808° N, 2.2426° W"
Greater Manchester,North West,African Caribbean Care Group,"53.4808° N, 2.2426° W",Ghanaian Union Manchester,"53.4597° N, 2.2287° W",Redeemed Christian,"53.4597° N, 2.2287° W"
Greater Manchester,North West,Caribbean Community Centre,"53.4597° N, 2.2287° W*",Somali Cultural Association,"53.4808° N, 2.2426° W*",Christ Apostolic,"53.4808° N, 2.2426° W"
Greater Manchester,North West,African Community Project,"53.4808° N, 2.2426° W*",African Women's Network,"53.4597° N, 2.2287° W",Trinity Baptist,"53.4597° N, 2.2287° W"
Greater Manchester,North West,Unity House,"53.4597° N, 2.2287° W",Zimbabwe Society,"53.4808° N, 2.2426° W*",Winners Chapel,"53.4808° N, 2.2426° W"
Greater Manchester,North West,African Caribbean Centre,"53.4808° N, 2.2426° W*",Ethiopian Community,"53.4597° N, 2.2287° W",Christ Faith Tabernacle,"53.4597° N, 2.2287° W"
Greater Manchester,North West,Black Community Hub,"53.4597° N, 2.2287° W*",Sierra Leone Association,"53.4808° N, 2.2426° W",KICC Manchester,"53.4808° N, 2.2426° W"
Greater Manchester,North West,Cheetham Hill Centre,"53.4808° N, 2.2426° W",Gambian Community Group,"53.4597° N, 2.2287° W*",Glory House,"53.4597° N, 2.2287° W"
West Yorkshire,Yorkshire & Humber,Leeds West Indian Centre,"53.8008° N, 1.5491° W",Leeds African Community,"53.8008° N, 1.5491° W",Leeds New Testament,"53.8008° N, 1.5491° W"
West Yorkshire,Yorkshire & Humber,African Community Centre Leeds,"53.8008° N, 1.5491° W*",Caribbean Cultural Network,"53.8008° N, 1.5491° W",Mountain of Fire,"53.8008° N, 1.5491° W"
West Yorkshire,Yorkshire & Humber,Caribbean Centre Leeds,"53.8008° N, 1.5491° W",Nigerian Society Leeds,"53.8008° N, 1.5491° W*",Redeemed Christian,"53.8008° N, 1.5491° W"
West Yorkshire,Yorkshire & Humber,African Resources Hub,"53.8008° N, 1.5491° W*",Ghana Union Yorkshire,"53.7947° N, 1.7520° W",Christ Apostolic,"53.7947° N, 1.7520° W"
West Yorkshire,Yorkshire & Humber,Unity Centre Bradford,"53.7947° N, 1.7520° W",Somali Community Bradford,"53.7947° N, 1.7520° W*",Trinity Baptist,"53.7947° N, 1.7520° W"
West Yorkshire,Yorkshire & Humber,African Centre Huddersfield,"53.6458° N, 1.7850° W*",African Cultural Project,"53.8008° N, 1.5491° W",Winners Chapel,"53.8008° N, 1.5491° W"
West Yorkshire,Yorkshire & Humber,Black Community Centre,"53.8008° N, 1.5491° W*",Zimbabwe Association,"53.8008° N, 1.5491° W*",Christ Faith Tabernacle,"53.8008° N, 1.5491° W"
